Sr. No.,Symbol,Exchange,Section,T4,T3,T2,T1, Max value ,Entry leg 1,Entry Leg 2,Min Lot Size
759,KHADIM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
760,KHAICHEM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
761,KICL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
762,KIMS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
763,KINGFA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
764,KIOCL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
765,KIRIINDUS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
766,KIRLFER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
767,KIRLOSBROS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
768,KIRLOSENG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
769,KIRLOSIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
770,KIRLPNU,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
771,KITEX,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
772,KKCL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
773,KMSUGAR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
774,KNRCON,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
775,KOLTEPATIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
776,KOPRAN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
777,KOTAKALPHA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
778,KOTAKBKETF,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
779,KOTAKGOLD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
780,KOTAKNIFTY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
781,KOTAKPSUBK,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
782,KOTHARIPET,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
783,KOVAI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
784,KPIGREEN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
785,KPIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
786,KPITTECH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
787,KPRMILL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
788,KRBL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
789,KRITI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
790,KRSNAA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
791,KSB,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
792,KSCL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
793,KSL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
794,KTKBANK,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
795,KUANTUM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
796,LAMBODHARA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
797,LANDMARK,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
798,LAOPALA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
799,LATENTVIEW,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
800,LAXMIMACH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
801,LEMONTREE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
802,LGBBROSLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
803,LIBERTSHOE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
804,LICI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
805,LIKHITHA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
806,LINC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
807,LINCOLN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
808,LINDEINDIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
809,LIQUID,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
810,LIQUIDBEES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
811,LIQUIDETF,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
812,LLOYDSME,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
813,LODHA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
814,LOVABLE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
815,LTGILTBEES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
816,LUMAXIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
817,LUMAXTECH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
818,LUXIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
819,LXCHEM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
820,LYKALABS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
821,MACPOWER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
822,MADRASFERT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
823,MAFANG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
824,MAGADSUGAR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
825,MAHABANK,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
826,MAHEPC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
827,MAHKTECH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
828,MAHLIFE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
829,MAHLOG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
830,MAHSCOOTER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
831,MAHSEAMLES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
832,MAITHANALL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
833,MALLCOM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
834,MANAKSIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
835,MANAKSTEEL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
836,MANALIPETC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
837,MANGALAM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
838,MANGCHEFER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
839,MANGLMCEM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
840,MANINDS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
841,MANINFRA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
842,MANKIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
843,MANORAMA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
844,MANYAVAR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
845,MAPMYINDIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
846,MARALOVER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
847,MARATHON,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
848,MARKSANS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
849,MASFIN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
850,MASTEK,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
851,MATRIMONY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
852,MAWANASUG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
853,MAXHEALTH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
854,MAXIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
855,MAYURUNIQ,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
856,MAZDA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
857,MAZDOCK,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
858,MEDANTA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
859,MEDICAMEQ,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
860,MEDICO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
861,MEDPLUS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
862,MENONBE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
863,MEP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
864,METROBRAND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
865,MHRIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
866,MID150BEES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
867,MIDCAPETF,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
868,MIDHANI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
869,MINDACORP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
870,MIRZAINT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
871,MKPL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
872,MMFL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
873,MMTC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
874,MOIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
875,MOKSH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
876,MOL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
877,MOLDTECH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
878,MOLDTKPAC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
879,MOM100,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
880,MON100,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
881,MONARCH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
882,MONTECARLO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
883,MOREPENLAB,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
884,MOTILALOFS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
885,MPSLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
886,MRPL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
887,MSTCLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
888,MSUMI,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
889,MTARTECH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
890,MTNL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
891,MUKANDLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
892,MUNJALAU,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
893,MUNJALSHOW,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
894,MUTHOOTCAP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
895,NACLIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
896,NAGAFERT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
897,NAHARCAP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
898,NAHARINDUS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
899,NAHARPOLY,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
900,NAHARSPING,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
901,NAM-INDIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
902,NATCOPHARM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
903,NATHBIOGEN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
904,NAVA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
905,NAVKARCORP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
906,NAVNETEDUL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
907,NAZARA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
908,NBCC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
909,NCC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
910,NCLIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
911,NDTV,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
912,NECLIFE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
913,NELCAST,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
914,NELCO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
915,NEOGEN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
916,NESCO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
917,NETWEB,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
918,NETWORK18,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
919,NEULANDLAB,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
920,NEWGEN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
921,NFL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
922,NGLFINE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
923,NH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
924,NHPC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
925,NIACL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
926,NIFTYBEES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
927,NIFTYETF,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
928,NIITLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
929,NIITMTS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
930,NILAINFRA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
931,NILKAMAL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
932,NITCO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
933,NITINSPIN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
934,NLCINDIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
935,NOCIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
936,NOVARTIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
937,NRAIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
938,NRBBEARING,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
939,NSIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
940,NSLNISP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
941,NUCLEUS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
942,NURECA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
943,NUVOCO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
944,NYKAA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
945,OCCL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
946,OIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
947,OLECTRA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
948,OMAXE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
949,ONMOBILE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
950,ONWARDTEC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
951,OPTIEMUS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
952,ORIENTCEM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
953,ORIENTELEC,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
954,ORIENTHOT,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
955,ORIENTPPR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
956,ORISSAMINE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
957,OSWALGREEN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
958,PAISALO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
959,PAKKA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
960,PANACEABIO,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
961,PANAMAPET,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
962,PARADEEP,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
963,PARAGMILK,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
964,PARAS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
965,PATELENG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
966,PAYTM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
967,PCBL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
968,PCJEWELLER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
969,PDMJEPAPER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
970,PDSL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
971,PENIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
972,PENINLAND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
973,PFIZER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
974,PFOCUS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
975,PFS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
976,PGEL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
977,PGHH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
978,PGHL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
979,PGIL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
980,PHARMABEES,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
981,PHOENIXLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
982,PILANIINVS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
983,PITTIENG,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
984,PIXTRANS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
985,PLASTIBLEN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
986,PNBGILTS,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
987,PNBHOUSING,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
988,PNCINFRA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
989,POCL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
990,POKARNA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
991,POLICYBZR,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
992,POLYMED,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
993,POLYPLEX,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
994,PONNIERODE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
995,POONAWALLA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
996,POWERINDIA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
997,POWERMECH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
998,PPL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
999,PPLPHARMA,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
1000,PRAJIND,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
1001,PRAKASH,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
1002,PRECAM,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
1003,PRECWIRE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
1004,PRESTIGE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
1005,PRICOLLTD,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
1006,PRIMESECU,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
1007,PRINCEPIPE,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
1008,PRIVISCL,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
1009,PROZONER,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
1010,PRSMJOHNSN,NSE,EQ,Monthly,Weekly,Daily,Hourly," 200,000.00 ",Buy Equity,,2
