Sr. No.,Symbol,Exchange,Section,T4,T3,T2,T1, Max value ,Entry leg 1,Entry Leg 2,Min Lot Size
105,INDIGO,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
106,INDUSINDBK,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
107,INDUSTOWER,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
108,INFY,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
109,IOC,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
110,IPCALAB,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
111,IRCTC,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
112,ITC,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
113,JINDALSTEL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
114,JKCEMENT,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
115,JSWSTEEL,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
116,JUBLFOOD,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
117,KOTAKBANK,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
118,L&TFH,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
119,LALPATHLAB,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
120,LAURUSLABS,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
121,LICHSGFIN,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
122,LT,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
123,LTIM,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
124,LTTS,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
125,LUPIN,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
126,M&M,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
127,M&MFIN,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
128,MANAPPURAM,NSE,Future,Weekly,Daily,Hourly,15 Min," 500,000.00 ",Buy Future,,2
